書籍タイトル,要約
INSPIRED 熱狂させる製品を生み出すプロダクトマネジメント,とにかく、製品開発に関する最も重要な教訓の１つは、何が知り得ないかを知ることだ。そして、この段階ではどれだけの利益を上げられるかわからないのだ。。MVPのPが製品（product）を指すのに対して、MVPは決して実際の製品ではないことにあると私は考えている（。MVPはプロトタイプであって製品ではない。 知識を得るために実際の製品と同じ品質のものを作るのは、たとえ最小限の機能に抑えたとしても相当な時間と費用の浪費であり、言うまでもなくリーンとは対極にある。 私は、より一般的な「プロトタイプ」という言葉を使うことで、この重要な点が製品開発チームにも、企業にも、将来の顧客にも明確になると考えている。...
NEW SALES――新時代の営業に必要な7つの原則,商談の流れに沿って「状況質問（Situation）」「問題質問（Problem）」「示唆質問（Implication）」「解決質問（Need-Payoff）」という４つの質問を組み合わせることによって、「ソリューション営業」を推進するというメソッドが SPIN 営業術です。 例えば、教育研修の営業をする場合は、 SPIN 営業術だと次のような流れで進みます。 状況質問（Ｓ） 「どのような教育研修を実施していますか？」 問題質問（Ｐ） 「現在、実施している教育研修で改善したいことはありますか？」 示唆質問（Ｉ） 「一方通行の講義だと、参加者が十分に内容を理解できないまま進んでしまいませんか？」...
NEXUS 情報の人類史 上　人間のネットワーク,一人ひとりの人間はたいてい自分や世界についての真実を知ることに関心があるのに対して、大規模なネットワークは虚構や空想に頼ってメンバーを束ね、秩序を生み出す。。歴史は過去の研究ではない。変化の研究だ。歴史は、何が変わらず、何が変化し、物事がどのように変化するかを教えてくれる。。良くも悪くも、シリコンチップは、炭素ベースのニューロン（神経細胞）が課されている有機生化学的制約の多くを免れる。。要するに、情報は現実を表示しているときもあれば、そうでないときもある。だが、情報はつねに人や物事を結びつける。これが情報の基本的な特徴だ。したがって、歴史における情報の役割を考察するときには、「どれだけうまく現...
NO RULES(ノー・ルールズ) 世界一「自由」な会社、NETFLIX (日本経済新聞出版),ここでカギとなるのが、フィードバックを受け取るときのふるまいだ。あらゆる批判に感謝を述べ、そして一番大事なこととして「帰属のシグナル」を頻繁に発することで、部下にフィードバックを与えても大丈夫だと感じてもらう必要がある。。フィードバックのガイドライン「４Ａ」。が「コントロール（規則）ではなくコンテキスト（条件）によるマネジメント」。ボーナスという仕組みそのものが「未来は予測可能であり、ある時点で設定した目標はその後も重要であり続ける」という前提に基づいていることを学んだ。しかし急激な環境変化に対応して迅速に会社の方向を修正しなければならないネットフリックスにおいて、社員の 12 月のボーナスを...
PIXAR 〈ピクサー〉 世界一のアニメーション企業の今まで語られなかったお金の話,むしろ、プレートのぶつかり合いで山脈が生まれる様子に近い。プレートの片方は、イノベーション圧の高まりだ。つまり、美術的・創造的にすばらしい物語を求める流れと、それを表現する新しい媒体であるコンピューターアニメーションの創出である。もう片方は、生き残らなければならないという現実世界のプレッシャーだ。具体的には資金の調達、映画チケットの販売、制作のペースアップなどである。このふたつの力が絶えずぶつかり合い、あちらでもこちらでも地震や余震が発生した。
PLG　プロダクト・レッド・グロース「セールスがプロダクトを売る時代」から「プロダクトでプロダクトを売る時代」へ,プロダクトを購入するシーンを想像してほしい。望ましいのは次のどちらだろうか。 ・購入する前に、実際に見て、使ってみる ・長々としたセールスプロセスに沿ってニーズに合うか確認する 自分でプロダクトを試したいという方が大半ではないだろうか。。とおり、「そのプロダクトを売るのにお金がかかればかかるほど、ユーザーはそれを買うのにもさらにお金が必要となる」。つまり、セールス主導型の戦略だと、プロダクトの価値とは関係のないコストを消費者に押し付けることになるのだ。。プロフィットウェルの調査によると、７割もの企業がプライシング調査を行っていないという［ 19］。巷には、憶測だけで設定された価格が...
RANGE（レンジ）　知識の「幅」が最強の武器になる,一つの領域内で取り組む課題を大幅に多様なものにすること。そして、デーンの共同研究者の言葉を借りると「片足を別の世界に置いておくこと（注 37 ③）」だ。。成功した人たちは、ある分野で得た知識を別の分野に応用するのがうまく、また、「認知的定着」を避けるのも上手だった。彼らはホガースが言うところの「遮断装置」を用いていた。つまり、外部の経験や例を活用して、もはや効果がないかもしれない従来の解決方法に依存する傾向を遮断していた。。彼らは、昔ながらのパターンを「避ける」スキルを持っていた。問題が曖昧で、明確なルールがない「意地悪な」世界では、「幅（レンジ）」が人生を生産的、かつ効率的にするための術とな...
SONY 平井改革の1500日 (日本経済新聞出版),吉田は経営者の心構えをこう説く。「トップマネジメントの仕事はソネット時代から３つしかないと考えている。方向性を出すこと、そして責任をとること、最後は人事。ほかは大体、人に任せる。考えなければならないことはたくさんある」。。Ｚｅｐｐのライブ会場はステージサイズや証明・音響設備などがほぼ規格化されて整備されている。様々な形や大きさの既存のホールツアーでは、実はライブにかかる費用や時間は大きい。音響設備やスピーカー、設営にかかるスタッフなど、制作費はばかにならない。Ｚｅｐｐモデルは、アーティストはライブの制作費のほか、ツアーの手間暇などのコストを軽減できるわけ。の場合、会場に機材がある程度そろってい...
THE MODEL（MarkeZine BOOKS） マーケティング・インサイドセールス・営業・カスタマーサクセスの共業プロセス,「今は業界トップクラスの営業は、なかなかうちに入社してくれない。業界未経験者を採用して、まずＳＲ（現在のインサイドセールス） の仕事をしてもらう。相手はある程度うちのことを認知していて、何かしらの課題を持っているから、未経験者でも話はしやすい。とにかく数多くの見込客と話すことで製品知識、ヒアリング能力、オブジェクションハンドリングなど基本的な営業スキルを身につけることができる。。難しい。分業体制のメリットは、最終的な売上だけを見るのではなく、 各プロセスを担う部門のパフォーマンスを評価する中間指標を設定し、どこがボトルネックなのかを把握し、すぐに対策が打てる ということにある。。つまり、顧客は...
THE NEXT BIG THING スティーブ・ジョブズと日本の環太平洋創作戦記,Ｍａｃを客に売ったら、ソフトが売れない。拡張スロットがないから、周辺機器も売れない。だから、販売店は客にＩＢＭ ＰＣを薦めてばかりいる。それが調査の報告だった。サードパーティの利益を軽視したジョブズは、エコシステムの構築に失敗したのである。。ＣＥＲＮ研究所では、ふたりと同い年のティム・バーナーズ゠リーがその黒いキューブを使ってＷＷＷ（ワールドワイドウェブ） を生み出していた。リーは、わずか二ヶ月で世界初のウェブ・ブラウザとウェブ・サーバーのプログラムを書きあげた。すべてネクストのオブジェクト指向の開発環境のおかげだという。 「もしネクスト・キューブがなかったら、ＷＷＷの開発にあと数年はかかっ...
Talent Wins(タレント・ウィンズ) 人材ファーストの企業戦略 (日本経済新聞出版),ＣＥＯは自社のトップレベルのトップ人材（会社の上層部にいる人材のことではない）をリストアップし、そこに並ぶ社員のことを深く理解しなければならない。このようなただの〝リスト〟を〝ツール〟と見なすのは妙に思えるかもしれないが、そのリストに載っている人材は正しく活用すれば投資に対する効果がとてつもなく高い人材である。我々はこうした人材を〈クリティカル２％〉と呼んでいる。
Who You Are（フーユーアー）君の真の言葉と行動こそが困難を生き抜くチームをつくる,だ。トップがいないところで人々がどんな判断をするかこそが、企業文化というものだ。。社員が日々の問題解決に使う一連の前提が、企業文化だ。誰も見ていないときにどう行動するかが、企業文化なのだ。。そこで働いていたときにどんな気分になったかや、そこで働いたことで自分がどんな人間になったかはいつまでも残る。社員の心から離れないことがひとつあるとしたら、それはその会社特有の気質と気風だろう。。人間が触れ合うときに必要なコミュニケーションの量は、信頼の量に反比例する」。組織の誰もが「どうしてだ？」と思うことに対して、どう答えるかで文化が決まる。。優れた文化をつくるということは、状況に合わせて自分たちを変える...
"Zero to One: Notes on Startups, or How to Build the Future (English Edition)","If you are copying these guys, you aren’t learning from them.。we rewrite the plan of the world.。successful people find value in unexpected places, and they do this by thinking about business from first principles instead of formulas.。beyond the tracks laid down by academic specialties。“What importan..."
「19世紀」でわかる世界史講義,客観的な歴史などというものは、基本的に存在しません。歴史家は、自らが生きた時代の風潮の中で、一種の物語を描くのです。ところが現在のわれわれは、歴史に客観性を求めようとして、いつのまにか事実の羅列を行なうようになっています。。もっとも、西欧の世界史の概念からすると、資本主義が発展していなければ世界史ではないということになります。なぜ資本主義の発展が世界史の条件として必要かといえば、世界を結び付けるものが経済だからで、貿易を通じて世界は動いていると考えるからです。貿易は世界のすみずみまで結び付けます。。東欧諸国は、第一次世界大戦が終わった後に成立しました。言い換えれば、第一次世界大戦後のヴェルサイ...
「何回説明しても伝わらない」はなぜ起こるのか？　認知科学が教えるコミュニケーションの本質と解決策,「人は、何をどう聞き逃し、都合よく解釈し、誤解し、忘れるのか」を知ること。 そして、そうした特徴を持つ人間同士が、 それでも伝え合えるように考えること が、「いいコミュニケーション」の実現には不可欠です。。「人は、何をどう聞き逃し、都合よく解釈し、誤解し、忘れるのか」を知ること。 そして、そうした特徴を持つ人間同士が、 それでも伝え合えるように考えること が、「いいコミュニケーション」の実現には不可欠です。。 言語は意図のすべてをそのまま表現できるわけではない、つねに受け取り手によって解釈され、解釈されて初めて意味あることとして伝わる のです。言葉を発した人が込めた思いと、相手の解釈が大きく...
「価値」こそがすべて！―ハーバード・ビジネス・スクール教授の戦略講義,バリューベース戦略の考え方では、価格はＷＴＰの決定要因ではありません。私たちはよくＷＴＰと価格を同じ意味で使用します。しかし、この２つは分けて考えるほうが有益です。。バリュースティックの下限では、報酬とＷＴＳの差は、仕事から得られる満足度を示しています。考え方は単純です。もし報酬が正確にＷＴＳと同じ水準に設定されていれば、従業員はこの仕事と次善の機会（おそらく別の仕事かレジャー）のどちらを選択してもよいことになります。もし企業がＷＴＳ以上の報酬を支払えば、従業員の満足度は向上します。。しばしば顧客が価格に敏感であることに不満を漏らす経営者に出会うことがあります。しかし、価格に対する感度の高さは...
「最強」ソリューション戦略 (日本経済新聞出版),つまり、ソリューション提案をすることとは、「詳しくない顧客に、詳しい情報を持った売り手が提案すること」であり、「売り手が知っていて顧客が知らない情報を基に、潜在ニーズを探索し提案をすること」なのです。。ソリューション活動とは、この情報ギャップを埋める活動なのです。具体的には、売り手であるあなたが顧客から様々な情報を収集し、顧客が持っている潜在ニーズを推測し、自社のトラックをどう使えば役立ち度が向上するかについて、顧客に考えさせるのではなく、あなた自身が考え提案する必要があるのです。。重要なのは、顧客が気づいていない潜在ニーズを探し出し、情報ギャップの状態を作り出し、ソリューション活動でそれを埋...
「組織と人数」の絶対法則―人間関係を支配する「ダンバー数」のすごい力,組織とは、共通の目的の下に結束していることが望ましいものの、ある時点においてそれぞれ大きく異なる理由からたまたま集まっているだけのことも少なくない人々の集合体である。。組織とは、共通の目的の下に結束していることが望ましいものの、ある時点においてそれぞれ大きく異なる理由からたまたま集まっているだけのことも少なくない人々の集合体である。。リーダーシップが求められる立場にいる人がその地位にいるのは、たいていは目的意識や強い野心があったからというより、結果的にそうなっただけだ。。リーダーシップが求められる立場にいる人がその地位にいるのは、たいていは目的意識や強い野心があったからというより、結果的にそう...
「覇権」で読み解けば世界史がわかる (祥伝社黄金文庫),じつは、民主政は平時にはうまく機能しますが、非常時になるとたちまち機能停止してしまうという致命的欠陥があります。 逆に、独裁政は非常時にはうまく機能しますが、平時にはその弊害の方が大きい。 つまり、民主政と独裁政は「けっして両立し得ない対立したシステム」ではなく、「２つでひとつ」、お互いに 欠点 をうまく 補い合って初めて政治はうまく機能するのです。。この事実をよく理解できていたラテン人は、平時には民主政を徹底させつつも、非常時には「 独裁官」という非常官を設置して臨時に独裁政を認めます。。市民は 貴族・平民 の区別なく参戦義務がありましたから、 平民 の生活を安定させてやることで初めて彼...
いのちの車窓から【電子特典付き】 (角川文庫),現在という名の適度な重さの野球ボールを、その辛い期間が終わった随分先にいる自分へ届くように思いっきり高く、遠くに投げるように想像する。。作家のキャリアに関係なく、文章力を自分の欲望の発散のために使うのではなく、エゴやナルシシズムを削ぎ落とすために使っている人。それが、僕の思う「文章のうまい人」です。
いまだ成らず 羽生善治の譜 (文春e-book),ただ谷川が刮目したのは局面を動かしたその手と同時に、このタイトル戦を通しての羽生の姿であった。羽生は明らかにＡＩ研究による最新型を自分の中に吸収していた。その上であえてＡＩ研究にはない型を採用していた。掛川での第一局から感じていたことだった。つまり時代の波に乗るだけでなく、それを自分のものとし、核心を求めて深部に分け入っていこうとしていた。。「ここ三年は七冠がとりあえず大きな目標でした。ただ、七冠を意識すると自分の自由な将棋を指せない。勝負に拘ってしまうので。これを機に解放できればと思っています」 羽生はそう言った。まるで、勝利至上のくびきから解放されたこれからが本当の冒険なのだと言っている...
うしろめたさの人類学,構築主義という考え方がある。何事も最初から本質的な性質を備えているわけではなく、さまざまな作用のなかでそう構築されてきた、と考える視点だ。よくあげられる例は、「ジェンダー」だろう。男性は生まれたときから「男らしさ」をもっているわけではない。社会の制度や習慣などによって「男らしさ」を身につけてきた。だから「男らしさ」は社会的に構築されてきた。そう考える。。ぼくらは、人にいろんなモノを与え、与えられながら、ある関係の「かたち」をつくりだす。そして同時に、その関係／つながりをとおして、ある精神や感情をもった存在になることができる。つまり関係の束としての「社会」は、モノや行為を介した人と人との関わ...
くもをさがす,がんに 罹った人は、原因を考えてしまうそうだ。暴飲暴食が悪かったんだ、睡眠不足が悪かったんだ、仕事のストレスが悪かったんだ、果ては水子の供養をしていなかったからだ、墓参りをしていなかったからだ、まで、様々に。 でも、それは誰にでも起こる。。死は、私たちが呼吸をしているすぐそばにある。まるっきり 無垢 な、自然な 佇まいでそこにあるものだから、私たちはよく、それを見過ごす。。歩く速度で走りながら、私は自分の寂しさを見つめた。寂しさはやはり鋭く、見つめることは痛みを伴った。病気に罹らなくても、いずれこの寂しさと、私たちは対峙しなければならない。老いてゆくとはそういうことだ。昨日まで出来ていたこと...
すべては1人から始まる――ビッグアイデアに向かって人と組織が動き出す「ソース原理」の力,カーニックはビジョンを実現する方法について何百人ものクリエイティブな人と対話し、人の活動に関する新しい視点をつくり上げた。その核となっているのが、 組織そのものではなく、その奥にある「アイデアを実現するという創造的なプロセス」に焦点を当てる こと、そして、そのプロセスにおいて1人の人物が特別に持つオーサーシップや責任──カーニックの言う「ソース」の役割 ──を認識することだ。。これは何らかのプロセスを経て「任命」できるようなものでもないが、家族における母親のように、誰がその役を担っているかを簡単に把握することができる。 ソースの役割は、1人の個人が、傷つくかもしれないリスクを負いながら最初の...
とにかく仕組み化――人の上に立ち続けるための思考法,ルールを正しく取り扱う仕組みがないから、「理不尽なルール」と思われてしまうのです。 仕組みの考えは、そうやって使われるべきです。 過去に作られて形骸化したルールを、もっと大きな仕組みの枠組みによってアップデートしていく。 その責任をとるべき人が、人の上に立つべきなのです。。さて、新しい仕組みを取り入れるとき、必ず反発は起こります。 政治でも、１００％全員が満足できる政策はありません。 どこかで「線引き」が必要になります。 会社での判断軸は、１つです。 「ちゃんと成長したい人が成長できるかどうか」 それだけです。。おかしな部分があるなら、変えればいい。 人の上に立つなら、主語は絶対に「私」である...
なぜ、TikTokは世界一になれたのか？,ジョアンは当時の苛立ちをこう振り返る。 「誰もがその技術はすばらしいと思っていましたが、技術が成功にどれだけ関係しているでしょう？その技術を使っていない既存のポータルも、ユーザーのニーズを十分に満たしている。だから彼ら（投資家） は、その技術がユーザーにもたらす価値やメリットはそれほど大きなものなのかと疑問視するんです」。 中国のベンチャー投資家は誰も、そのモデルの真の可能性を理解もしていなければ、情報流通に機械学習を応用したときにどれほどの威力を発揮するかを予見できてもいなかった。。インターネット上で訪問者数が３番目に多いサイトにもかかわらず、「ホームページであるYouTube.comは...
なぜ、世界のエリートはどんなに忙しくても美術館に行くのか？,アート作品を鑑賞することは、正解がない問いに主体的に取り組み、自分なりに答えを導き出すという行為でもあります。 アートは、「私たちに何かを教える」のではなく、「私たちが学ぶことを促す」 のです。
なぜ世界はそう見えるのか,こうした発達上の 偏り が原因で起きるのが、「他人種効果」だ。異なる民族に属する人の顔は想起や識別がしづらいという、広く研究されているパターンである。まるで社会的カテゴリーが知覚と記憶力に不透明なフィルターをかけてでもいるかのように、社会的知覚が狭まるらしいのだ。。対極の政治思想を持つ人々は、同じ社会的事象が起きている同一の物理的世界に暮らしているように見えて、じつはそれぞれ天と地ほどにかけ離れた主観的経験をくぐっているのである。。人間は個人的な心的経験を物理的世界に投影しており、じつは自らの心的経験であるものを物理的世界であると思い違えている。。常識は私たちに、見たままが世界だ、私たちの経...
なぜ働いていると本が読めなくなるのか (集英社新書),そんな明治時代初期に読書界に起きた革命と言えば、「黙読」が誕生したことだ。 江戸時代、読書といえば朗読（！） だったのだ。。黙読は日本語の表記も変えた。黙読の普及によって「もっと目で読みやすい表記をつくり出す」という目標が出版界に生まれた。そうして普及したのが句読点である。句読点の使用が急速に増加したのは明治 10 年代後半～ 20 年代のことだった。。さらに大正時代、出版界において現代にまで続く再販制――再販売価格維持制度が導入され始めた。これは出版社側が定価を決定する制度で、これによって客に本が値切られることがなくなる、画期的な制度だった。さらに委託制度が広まり、書店は売れる見込みのある...
なぜ私たちは燃え尽きてしまうのか,バーンアウトしていると発言することは、人はつねに働いていなければいけないというアメリカ人の理想を自分は実践している、と主張することでもあるのだ。。二〇一一年、彼はドイツのシュピーゲル誌で「バーンアウトについて語るのはまったく無益」と言い、「なぜならバーンアウトは、日常的な疲労を意味するときもあれば、生命を脅かす深刻な抑うつ症状も意味するときもあるからだ。そのせいで、バーンアウトという概念はうつ病の矮小化につながってしまう」と語っている 36。。労働を過剰に評価するこの社会では、バーンアウトに陥っていると言えば仕事に没頭している証となり、一定の地位を得ることができる。そう、バーンアウトしていると...
はじめての構造主義 (講談社現代新書),世界のあり方は、言語と無関係でなく、どうしても言語に依存してしまうのである。われわれはつい、言語と無関係に、世界ははじめから個々の事物（言語の指示対象） に区分されているもの、と思いこみがちだ。ところが、そんなことはないので、言語が異なれば、世界の区切り方も当然異なるのだ。。人間の精神生活が豊かなのは、いまのべた、言語の恣意性と深い関係がある。言葉が何を指し、何を意味するかは、言語のシステム内部で決まることであって、物質世界と直接に結びつかない。つまり、物質世界のあり方とは独立に、言語のシステム（ひいては文化のシステム） を複雑化し、洗練していく 途 が開かれている。人類はそうやって、感性や思...
ほんとうの構造主義　言語・権力・主体 ＮＨＫブックス,統一のとれた身体をもつ分割不可能な自立した個人や自己を初めに想定するのではなく、人間の根源にまでさかのぼり、周囲の世界やそこにある物＝者（これらを総称して以降「他者」と呼ぶ）を内部にとり込む、あるいはそれらと一体化するというように、他者を巻き込み他者に巻き込まれるというかかわりの中で、主体や自己が形成されると考える思想。それが構造主義である。構造主義は常識を覆す。。統一のとれた身体をもつ分割不可能な自立した個人や自己を初めに想定するのではなく、人間の根源にまでさかのぼり、周囲の世界やそこにある物＝者（これらを総称して以降「他者」と呼ぶ）を内部にとり込む、あるいはそれらと一体化するというよう...
みる　わかる　伝える (講談社文庫),本書で扱う「みる」は視覚だけではなく、聴覚・嗅覚・味覚・触覚などの五感をフルに使い、目的意識をもって「みる」ことを指す。
もっと早く、もっと楽しく、仕事の成果をあげる法 知恵がどんどん湧く「戦略的思考力」を身につけよ,ず、デキるビジネスマンたる者は、少なく覚えて広く応用できるような、汎用性のあるノウハウを身につけることだ。私たちには避けられない時間的な制約があるから、これがビジネスの鉄則でもある。。しかし、経営者の役割は他にもいろいろある。たとえば、起きてしまった矛盾を解決するというのも、決断に負けないくらい重要な役割だ。 これとこれはそもそも両立しないがともに大切だとか、トレードオフが必要だと二者択一を迫られたりしたときなどに、これをどううまくさばくかで経営者の手腕が問われることになる。そんなとき、どうやら経営者というのは、 ① 腹をくくる（決断する） ② 抜け道を探す このどちらか、もしくは両方...
わが投資術　市場は誰に微笑むか,平たく言えば、「自分の考えはみんなと同じ」なら投資のアイデアにはなりません。「自分の考えはみんなと違う」時に投資のアイデアになるのです。。株式市場で人気の圏外にある「割安小型株」は株式市場での参加者が少ない（というか投資家に無視されている銘柄が多い）ので、「何が株価に織り込まれているか」が比較的簡単にわかります。。アナリストは「10％増益が株価に織り込まれている」とか平気で言いますが、大型株については「株価に何が織り込まれているか」なんてそう簡単にわかるものではないですよ。これも我々が小型株投資を選好してきた理由の一つかもしれません。。「投資のアイデアを探す」ということは「株価に織り込まれてい...
アフターデジタル２ ＵＸと自由,データを持っていてもそのままではまったくお金にならないことを理解する必要があります。データをそのままお金に換えるという考え方ではなく、どのようにUXに還元し、ユーザーに価値を提供するか、という考え方でないと、日本はテクノロジーの恩恵を受けられず、国際的な競争力を失ってしまいます。。日常的にユーザーに価値を提供でき、高頻度かつ定常的にユーザーの状況を把握できる形式のビジネス。テンセントは、「お金の受け取り一つにもコミュニケーションが発生する」と考え、日本でよく行われる「財布を出すポーズ」をデジタル上でできるようにしたのです。「。そのサービスや商品に関わる接点はいつもそのコンセプトにまとめられてお...
アマゾンと物流大戦争 (ＮＨＫ出版新書),カクヤスは１店舗あたり１・２キロメートル半径商圏というロジスティクスを見つけ出しました。。カクヤスのビジネスをより深く理解するため、ここで物流用語を１つ覚えていただきたいと思います。「ストックポイント（ stock point）」です。英語でストックは在庫、ポイントは地点を指しますが、配送のために在庫を置いておく場所のことを意味し、多くの場合はピッキングから出荷までの基本的な物流機能を備えています。。ヤマト運輸、佐川急便、日本郵便の３強による寡占化が進み、上位３社の合計は 92・５％にも達します。。例えば、米国ではＵＰＳやフェデックスでしか実現していなかった日祝配送を、アマゾンがＵＳＰＳで実施...
アンビシャス　北海道にボールパークを創った男たち (文春e-book),「夢には日付を書かなければならない」 前沢はそう言った。二〇二三年春の開場──そのための約三年間の工期──そのための二〇一八年三月の建設地決定──いざ実現へ向けて走り出してみれば、未来に置かれたそれらのマイルストーンだけが確かなものだった。。本州以南にはいまだ武家社会の構図が残っていた。かつては城があり、城の周りに町があった。そこには役人と町人がいて、何より両者を繫ぐ名士のような人物がいた。官にも民にも分類できないその存在が城下町の運営を円滑にし、諸問題を未然に解決していた。だが、武家の歴史を持たない札幌に半官半民の名士は見当たらなかった。大通公園を挟んで北と南。官と民は明確に色分けされてい...
