Title,Author,Highlight
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,以上から、「PBR＝PER×ROE」の公式は、企業の存在価値の源泉であるのれん価値の創出力を足元の資本効率性と将来の成長期待の掛け算で数値化して表現できることを示していることがわかる。
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,企業価値＝企業が将来にわたって生み出すキャッシュフローの現在価値
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,会計上のバランスシートに載っている資産は、通常買ってきたときの取得原価で記帳される。つまり、「カネさえあれば誰でも買える」たぐいの資産だ。事業活動とは、これらのカネで買える資産に人材、信用、ノウハウ、ブランドなどの「ソフトパワー」を注ぎ込んで、単なる資産の寄せ集め以上の価値ある存在にする活動にほかならない。
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,本書では、企業価値はあくまで将来のキャッシュフローを生み出す源となる「筋肉」部分の価値として捉えるべき、それが投資対象としての企業のあるべき姿、余剰キャッシュを投資家に代わって備蓄・運用する活動とは切り離して評価したほうがバリュエーション上の課題が明確になる、との理解で「EV＝企業価値」として書き進める。
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,キャッシュフローを生み出すのに必要な事業資産やのれんが企業の「筋肉」であり、余剰現金・預金や国債・投資用不動産などの運用資産は、その意味では過去の利益を体に蓄えている「贅肉」のようなもの、よって前者が事業資産で後者は非事業資産となる。
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,財務基盤の安定は、社員や取引先が安心して事業に取り組む環境づくりのためであり、のれん価値の形成に貢献している、という意見もあるだろう。大切なのは、それらが中長期的なキャッシュフロー創出に貢献する資産として株価評価に織り込まれるよう、投資家の理解を得ることだ。
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,この将来キャッシュフローの分配の図を見てわかるとおり、株主は「もし債権者への分配をした後で残りがあれば」報われるという立場で「返してくれとは言えない」資金を提供する存在だ。FCFは、取引先や家賃や社員への支払いを済ませ、税金を納めた後に手元に残るカネであり、株主はステークホルダーの中で、とても不安定なリターンに賭けて「リスクマネー」を提供する立場にいる。
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,自分が受け取る報酬より少ない収益しかもたらさない社員をたくさん抱えている会社は、第1章のドラッカーの言葉を借りれば、「経済社会から受け取っている資源より少ないものしか経済社会に返していないなら、富を創造しているのではなく破壊している」ことになり、その価値はB/Sの左側にはマイナス数字の「負ののれん」として表現され、その分だけ株主価値が減少することになる。
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,すなわち、「マネジャーのアウトプットとは、その直後の監督下にあったり、または影響下にある組織体のアウトプットである」。
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,マネジャーのアウトプットとは、監督下にあるグループ、あるいは影響力下にあるグループが遂行した成果
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,マネジャーは多くのボールを同時に空中に上げておき、自分の部門のアウトプットを最高に上げると思われる活動に自分のエネルギーと注意を注がなければならない。いいかえれば、自分の〝テコ作用〟が最大となりそうな点に移るべきなのである。
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,マネジメントの〝 技術〟というのは、一見比較してみて同じくらいの重要度を持つ多くの活動から、テコ作用の優れたものをひとつ、２つ、あるいはせいぜい３つほど選び出して、それに集中する能力にある。
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,マネジャーの時間は、その値打ちに上下があるので、権限委譲がマネジメントにとって不可欠な側面となる。「委譲する人」と「委譲される人」は、どのように問題を解決していくかについて、共通の情報基盤と共通した業務処理上の考え方を持たなければならないが、この点がよく見落とされがちである。両者が適切な共通基盤を共有しないかぎり、委譲された人は、ただ具体的な指示を受けただけの腕の良い代理人にしかすぎない。具体的な活動を細かく指示するマネジャーのおせっかい（干渉）の場合と同じく、このときのテコ作用は弱い。
