書籍タイトル,著者,ハイライト内容
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,森生 明,この将来キャッシュフローの分配の図を見てわかるとおり、株主は「もし債権者への分配をした後で残りがあれば」報われるという立場で「返してくれとは言えない」資金を提供する存在だ。FCFは、取引先や家賃や社員への支払いを済ませ、税金を納めた後に手元に残るカネであり、株主はステークホルダーの中で、とても不安定なリターンに賭けて「リスクマネー」を提供する立場にいる。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,組織に新たなセンスメイキングを生み出すために、現状の組織を動かす基本的な認知の枠組みについて、どこまで深く変革者が理解しているかということを、軽視してはならない。 　変革の実践には、組織の認知の枠組みを内側から少しずつ変えていくように働きかけていくことが、何より大切である。
トークの教室　「面白いトーク」はどのように生まれるのか (河出新書),藤井青銅,トーク上手が多いラジオのパーソナリティーでいえば、面白いトークは七分程度が一つの単位になる、と私は思っています。
アフターデジタル２ ＵＸと自由,藤井 保文,このように 利便性が高く、生活に新たな意味をもたらすようなサービスが「想起が起こる前」から顧客の心理の内側に存在する
テクノロジーの世界経済史　ビル・ゲイツのパラドックス,カール・B・フレイ、村井 章子、大野 一,政策転換を迫る外部からの脅威のほうが、暴動を起こしかねない国内労働者の脅威を上回ったということである。
絶滅できない動物たち――自然と科学の間で繰り広げられる大いなるジレンマ,Ｍ・Ｒ・オコナー、大下 英津子,月面に遺伝子を落としただけでは、何も起こらない。機能する世界がない遺伝子は意味がなく、遺伝子は、環境と相互作用して初めて遺伝子たり得る。関係性のないところに究極の 目的 はない。
新装版「エンタメ」の夜明け　ディズニーランドが日本に来た日 (講談社＋α文庫),馬場康夫,オリエンタルランドは、１９６０年７月、 浦安 沖の公有水面２６３万坪の埋め立てのために、２億５０００万円の資本金で設立された会社である。
利他・ケア・傷の倫理学,近内悠太,それゆえ、「心が分かる」を為すためには、他者の放つ一つの言葉、一つの文を孤立させてはならない。そうではなく、僕らは言葉と文が織りなす「物語」を必要とする。「その他者が大切にしているものを知る」とは、物語を見出し、共に劇を作り出すことなのです。この抜毛症の女の子の事例はそれを示しています。
はじめての構造主義 (講談社現代新書),橋爪大三郎,　構造主義は、ひとつの方法論である。真理が実体として存在すると考えない。真理は一般に、制度の産物だというのだから、マルクス主義といえども相対化してしまう。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,僕らが気づいていないだけで、この社会には無数のアンサング・ヒーローが存在しているのです。その純然たる事実に気づいた人だけが、その前任のアンサング・ヒーローから贈与のプレヒストリーを与えられ、自身がふたたびアンサング・ヒーローの使命を果たしていく
くもをさがす,西加奈子,似たようなことを、ウィリアム・フォークナーも言っている。 「文学は、真夜中、荒野のまっただ中で擦るマッチと同じだ。マッチ１本では到底明るくならないが、１本のマッチは、周りにどれだけの闇があるのかを、私たちに気づかせてくれる。」
１９４０年体制（増補版）,野口 悠紀雄,大企業の幹部は、経営の専門家でなく、その組織の内部事情（とりわけ人的関係）の専門家であり、過去の事業において成功してきた人たちだ。したがって、企業経営の究極的な目的は、これまで続いてきた企業の姿と、従業員の共同体を維持することにおかれる。
「組織と人数」の絶対法則―人間関係を支配する「ダンバー数」のすごい力,トレイシー・カミレッリ、サマンサ・ロッキー、ロビン・ダンバー、鍛原 多惠子,私たちが種として定住しはじめたのは、ほんの 1 万年前という最終氷期末期だった。そして、これらの定住地のいずれかに 1 万人以上が暮らしはじめたのはやっと約 4000 年前のことだ。 4000 年と言えば、ヒトの系統が大型類人猿から分岐してからの進化史のわずか 0・05％ にすぎない。
ネガティブ・ケイパビリティ　答えの出ない事態に耐える力 (朝日選書),帚木　蓬生,　精神分析では、分析者と患者が対峙し、言葉が交わされます。そのとき、双方それぞれに、〝ものの見方〟というものがあります。ビオンはこの〝ものの見方〟を忌避します。あまりにも固定した一方的な視点だからです。その代わりに、〝頂点〟という用語を選びました。山の頂を想像して下さい。展望が周囲に開けています。〝ものの見方〟よりはもっと広い視野を持ち、焦点もあちこちに浮遊できます。
トークの教室　「面白いトーク」はどのように生まれるのか (河出新書),藤井青銅,　私が放送作家になって最初にプロデューサーに教えられたのは、 「ラジオに『みなさん』はないから」 　ということでした。 「『みなさんお元気ですか？』とか『みなさんはどう思いますか？』とかいうセリフがある。テレビはお茶の間で家族で見ているけど、ラジオはだいたい部屋で一人で聞いている。呼びかける場合は『みなさん』ではなく『あなた』なんだ」
なぜ働いていると本が読めなくなるのか (集英社新書),三宅香帆,さらに大正時代、出版界において現代にまで続く再販制――再販売価格維持制度が導入され始めた。これは出版社側が定価を決定する制度で、これによって客に本が値切られることがなくなる、画期的な制度だった。さらに委託制度が広まり、書店は売れる見込みのある本を大量に仕入れることができるようになった。当時、書店の数も急速に増加。明治末の書店数は約３０００店だったのに対し、昭和初期には１万店を超えるようになったというのだから驚きだ（小田光雄『書店の近代―本が輝いていた時代』）。
美しき免疫の力　動的システムを解き明かす,ダニエル・M.デイヴィス、久保　尚子,発見の秘訣は「誰もが見たことがあるものを見て、誰も考えなかったことを考えること」
脳の大統一理論　自由エネルギー原理とはなにか (岩波科学ライブラリー),乾 敏郎、阪口 豊,自由エネルギー原理では、 α 運動ニューロンに送られる信号は運動実行後にゴール状態で得られるはずの自己受容感覚（筋感覚） の予測信号と考える。そして、 α 運動ニューロンは、この予測信号と筋紡錘から送られてくる感覚信号を比較して予測誤差信号を生み出し、それを筋に送ることで予測誤差が小さくなるように筋を収縮させる。
日露戦争、資金調達の戦い―高橋是清と欧米バンカーたち―（新潮選書）,板谷 敏彦,た。人件費の多い陸軍は、常にコストが嵩む。大英帝国の繁栄も、ドーバー海峡によって大陸からの侵攻の懸念が少なく、陸軍の常備兵力を少なく済ませ、海軍中心の軍備を充実できたことが大きなアドバンテージであった。日露戦争後の日本が島国の優位性を鑑みず、大きな陸軍を指向したのは間違いである。
三行で撃つ 〈善く、生きる〉ための文章塾,近藤 康太郎,本を読む、文章を読む。その運動の最大の特徴は、「落ち着き」ということです。 人を落ち着かせる。心を鎮めさせる。立ち止まって、考えさせる。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,　当然ですがそのリスクは分析した上での結論でした。それは「映画好きなファン層」のプレファレンスの本質、彼らがなぜUSJに来るのかを見極めることに他なりません。簡単に言うと、彼らは「USJが映画だけのテーマパークだから来ている」のではなく、「自分の好きな映画のコンテンツがあるから来ている」のです。もっと言うと、彼らは映画のコンテンツだから来ているのではなく、自分の好きなコンテンツがあるから来ているのです。映画だろうが、アニメだろうが、ゲームだろうが、そんな「フォーマット（形式）」によって消費者のプレファレンスが決まっている訳ではないのです。つまり映画かどうかなんて、プレファレンスに関係がありません。
スマートシティとキノコとブッダ　人間中心「ではない」デザインの思考法,中西 泰人、本江 正茂、石川 初,私たちは、キノコの胞子を飛ばす花のような部分だけを「きのこ」と呼んでいますが、その本体は菌糸のネットワークです。アメリカ・オレゴン州には東京 23 区の中央区を覆うほどのサイズの菌糸を張ったキノコが存在するそうです［
経営×人材の超プロが教える人を選ぶ技術,小野壮彦,前述のクラウディオは、人の器の大きさ、伸びしろは、「好奇心（Curiosity）」「洞察力（Insight）」、「共鳴力（Engagement）」、「胆力（Determination）」の４つの因子で測ることができると、ズバリ言い切っている。
社会学史 (講談社現代新書),大澤真幸,社会科学が生まれるための重要なインパクトになったのは、フランス革命です。
「最強」ソリューション戦略 (日本経済新聞出版),高杉康成,２－６－２の法則において重要なのは、上位２割ではなく「真ん中の６割をどう染めるか」にあります。この６割がポジティブに染まると、上位２割と合わせて組織全体の８割がポジティブに染まります。
わが投資術　市場は誰に微笑むか,清原達郎,私の結論を簡単に言えば、「投資家はマクロで勝つのは非常に困難だが、ミクロでは勝てるチャンスが多い」 ということです。
ヒットの設計図　ポケモンGOからトランプ現象まで (早川書房),デレク トンプソン、高橋 由紀子,しかし人生は巨大なルーレットみたいなもので、それを回すチャンスは各人に１度しか与えられない。 　したがってほとんどの人は、確率でものごとを考えない。世の中をストーリーで考える。つまり行動とそれに対する反応、原因と結果、因果関係の逆さまの解釈などによって、理解しようとする。どんなストーリーでも、カオス（無秩序）よりはましだからだ。実際、人生はいつだってカオスなので、ストーリーによって気持ちが救われるのかもしれない。
マッキンゼー　ホッケースティック戦略―成長戦略の策定と実行,クリス・ブラッドリー、マーティン・ハート、スヴェン・シュミット、野崎 大輔、アンドレ・アンドニアン,フェイスブック社が２０１３年にビジネスモデルを「モバイルファースト」に刷新した事例や、中国のテンセント社がモバイルベースの「ＷｅＣｈａｔ」を、すでに市場で圧倒的な地位を占めていた自社のデスクトップのソーシャルメディアプラットフォーム「ＱＱ」と競争させた事例は注目に値します。
今、ラジオ全盛期。,冨山雄一,すでに熱を持っている人の熱をもっと高めるほうが、実は新しいリスナーを増やすことにもつながるのです。温度の低い１人を温めるより、すでに温まっている人の熱を高めて「静かな熱狂」を生み出すほうがいい。
Hit Refresh（ヒット リフレッシュ）,サティア・ナデラ、グレッグ・ショー、ジル・トレイシー・ニコルズ、山田美明、江戸伸禎、ビル・ゲイツ,哲学に造詣の深い彼は、ニーチェの言葉を指針としている。「生きる『理由』を持っていれば、どんな『生き方』にも耐えられる」。
プロ経営者・CxOになる人の絶対法則,荒井裕之、小杉俊哉,あらゆる感情をコントロールすることを意識し、場合によっては「演じる」ことができる人の方がうまくいきます。自分の感情もコントロールした上で出すことが必要だと理解し、感情に任せて表現するべきではありません。 　つまり、感情の出し方には感覚的な側面と、論理的な側面を持ち合わせることです。ロジカルに話す方がいい場面と、感情に訴えるように話す場面を見極め、使い分けができる人は経営人材として重宝されます。
検証 ナチスは「良いこと」もしたのか？ (岩波ブックレット),小野寺 拓也、田野 大輔,国民の生活」に配慮しているという姿勢を示し続け、実際にもそれを実行に移すことで人びとの戦争協力を引き出す。これが、ナチスのあらゆる社会政策の根底にあったねらいだった。
